PYNAM,PYCOMNAM,COMNAME,PYSPP,ITISSPP,VIMSCODE
DACRYDIUM VITREUM,GLASSY MUSSEL,NA,5.12E+14,NA,NA
DENDROBEANIA MURRAYANA,,NA,7.01E+14,NA,NA
DENDROCHIROTIDA,,NA,6.15E+14,NA,NA
DENDRODOA CARNEA,,NA,7.61E+14,NA,NA
DENTALIUM SP,,NA,5.13E+14,NA,NA
DEXAMINE THEA,,NA,4.11E+14,NA,NA
DEXAMINIDAE,,NA,4.11E+14,NA,NA
DIASTYLIS ABBREVIATA,,NA,4.11E+14,NA,NA
DIASTYLIS POLITA,,NA,4.11E+14,NA,NA
DIASTYLIS SPINULOSA,,NA,4.11E+14,NA,NA
DIODORA SP,,NA,5.14E+14,NA,NA
DIPLOCIRRUS HIRSUTUS,,NA,2.14E+14,NA,NA
DOTO CORONATA,CROWN DOTO,NA,5.14E+14,NA,NA
DOTONIDAE,,NA,5.14E+14,NA,NA
DULICHIA MONACANTHA,,NA,4.11E+14,NA,NA
DULICHIA PORRECTA,,NA,4.11E+14,NA,NA
DULICHIA SP,,NA,4.11E+14,NA,NA
ECHINARACHNIIDAE,,NA,6.12E+14,NA,NA
ECHIURUS ECHIURUS,,NA,3.31E+14,NA,NA
EDWARDSIA ELEGANS,,NA,5.22E+13,NA,NA
EDWARDSIA SP,,NA,5.22E+13,NA,NA
ENCHYTRAEIDAE,,NA,2.13E+14,NA,NA
EOBROLGUS SPINOSUS,,NA,4.11E+14,NA,NA
EPIMERIA LORICATA,,NA,4.11E+14,NA,NA
ERICHSONELLA,,NA,4.11E+14,NA,NA
ERICHSONELLA FILIFORMIS,,NA,4.11E+14,NA,NA
ERICTHONIUS SP,,NA,4.11E+14,NA,NA
ETEONE FLAVA,,NA,2.14E+14,NA,NA
ETEONE HETEROPODA,,NA,2.14E+14,NA,NA
ETEONE LACTEA,,NA,2.14E+14,NA,NA
ETEONE LONGA,,NA,2.14E+14,NA,NA
ETEONE TRILINEATA,,NA,2.14E+14,NA,NA
EUBRANCHUS EXIGUUS,DRAWF BALLOON AEOLIS,NA,5.14E+14,NA,NA
EUBRANCHUS PALLIDUS,,NA,5.14E+14,NA,NA
EUCHONE RUBROCINCTA,,NA,2.14E+14,NA,NA
EUCHONE SP,,NA,2.14E+14,NA,NA
EUCLYMENE COLLARIS,,NA,2.14E+14,NA,NA
EUCLYMENE SP,,NA,2.14E+14,NA,NA
EUDORELLA EMARGINATA,,NA,4.11E+14,NA,NA
EUDORELLA TRUNCATULA,,NA,4.11E+14,NA,NA
EULALIA VIRIDIS,,NA,2.14E+14,NA,NA
EUMIDA SANGUINEA,,NA,2.14E+14,NA,NA
EUNICE NORVEGICA,,NA,2.14E+14,NA,NA
EUNICE PENNATA,,NA,2.14E+14,NA,NA
EUNICE SP,,NA,2.14E+14,NA,NA
EUNICIDA,,NA,2.14E+14,NA,NA
EUNICIDAE,,NA,2.14E+14,NA,NA
EUPHROSINE SP,,NA,2.14E+14,NA,NA
EUPHROSINIDAE,,NA,2.14E+14,NA,NA
EURYALE SP,,NA,6.13E+14,NA,NA
EURYALINA,BASKET STARS,NA,6.13E+14,NA,NA
EUSIRIDAE,,NA,4.11E+14,NA,NA
EUSIRUS SP,,NA,4.11E+14,NA,NA
EUSPIRA HEROS,NORTHERN MOONSNAIL,NORTHERN MOONSNAIL,5.14E+14,72985,NA
EUSPIRA IMMACULATA,IMMACULATE MOONSNAIL,NA,5.14E+14,NA,NA
EXOGONE SP,,NA,2.14E+14,NA,NA
EXOGONE VERUGERA,,NA,2.14E+14,NA,NA
FISSURELLIDAE,,NA,5.14E+14,NA,NA
FLABELLIGELLA SP,,NA,2.14E+14,NA,NA
FLABELLIGERIDAE,,NA,2.14E+14,NA,NA
GAMMARELLUS SP,,NA,4.11E+14,NA,NA
GAMMARIDEA,GAMMARID,NA,4.11E+14,NA,NA
GAMMAROPSIS SP,,NA,4.11E+14,NA,NA
GAMMARUS ANNULATUS,,NA,4.11E+14,NA,NA
GAMMARUS LAWRENCIANUS,,NA,4.11E+14,NA,NA
GASTROPODA EGGS,GASTROPOD EGGS,NA,5.14E+14,NA,NA
GASTROPODA OPERCULUM,GASTROPOD OPERCULUM,NA,5.14E+14,NA,NA
GASTROPODA SHELL,SNAIL SHELL,NA,5.14E+14,NA,NA
GASTROPODA VISCERA,SNAIL UNCL VISCERA,NA,5.14E+14,NA,NA
GEUKENSIA SP,,NA,5.12E+14,NA,NA
GLYCERA CAPITATA,,NA,2.14E+14,NA,NA
GLYCERA ROBUSTA,,NA,2.14E+14,NA,NA
GLYCERIDAE,,NA,2.14E+14,NA,NA
GLYCINDE SOLITARIA,,NA,2.14E+14,NA,NA
GLYCINDE SP,,NA,2.14E+14,NA,NA
GOLFINGIA CATHARINAE,,NA,3.11E+14,NA,NA
GOLFINGIA SP,,NA,3.11E+14,NA,NA
GONIADELLA GRACILIS,,NA,2.14E+14,NA,NA
GONIADELLA SP,,NA,2.14E+14,NA,NA
GONIADIDAE,,NA,2.14E+14,NA,NA
GORGONOCEPHALUS SP,,NA,6.13E+14,NA,NA
HALACARIDAE,MITES,NA,4.13E+14,NA,NA
HAPLOOPS SETOSA,,NA,4.11E+14,NA,NA
HAPLOOPS SP,,NA,4.11E+14,NA,NA
HAPLOOPS TUBICOLA,,NA,4.11E+14,NA,NA
HARPINIA PLUMOSA,,NA,4.11E+14,NA,NA
HARPINIA SP,,NA,4.11E+14,NA,NA
HAVELOCKIA SCABRA,,NA,6.15E+14,NA,NA
HEMIARTHRUS SP,,NA,4.11E+14,NA,NA
HESIONIDAE,,NA,2.14E+14,NA,NA
HIPPIDAE,SAND CRABS,NA,4.11E+14,NA,NA
HIPPOMEDON DENTICULATUS,,NA,4.11E+14,NA,NA
HIPPOMEDON PROPINQUUS,,NA,4.11E+14,NA,NA
HYPERIA GALBA,,NA,4.11E+14,NA,NA
HYPERIA MEDUSARUM,,NA,4.11E+14,NA,NA
HYPEROCHE MEDUSARUM,,NA,4.11E+14,NA,NA
HYPEROCHE SP,,NA,4.11E+14,NA,NA
IDOTEA PHOSPHOREA,,NA,4.11E+14,NA,NA
IDOTEIDAE,,NA,4.11E+14,NA,NA
ILYANASSA SP,,NA,5.14E+14,NA,NA
ISCHYROCERIDAE,,NA,4.11E+14,NA,NA
ISCHYROCERUS ANGUIPES,,NA,4.11E+14,NA,NA
ISCHYROCERUS SP,,NA,4.11E+14,NA,NA
JAERA MARINA,,NA,4.11E+14,NA,NA
JAERA SP,,NA,4.11E+14,NA,NA
JANIRA ALTA,,NA,4.11E+14,NA,NA
JANIRA MACULOSA,,NA,4.11E+14,NA,NA
JANIRA SP,,NA,4.11E+14,NA,NA
JANIRIDAE,,NA,4.11E+14,NA,NA
JASMINEIRA SP,,NA,2.14E+14,NA,NA
LAETMONICE FILICORNIS,,NA,2.14E+14,NA,NA
LAEVICARDIUM LAEVIGATUM,EGG COCKLE,NA,5.12E+14,NA,NA
LAEVICARDIUM PICTUM,PAINTED EGGCOCKLE,NA,5.12E+14,NA,NA
LAMPROPIDAE,,NA,4.11E+14,NA,NA
LAMPROPS FUSCATA,,NA,4.11E+14,NA,NA
LAMPROPS QUADRIPLICATA,,NA,4.11E+14,NA,NA
LAMPROPS SP,,NA,4.11E+14,NA,NA
LAONICE CIRRATA,,NA,2.14E+14,NA,NA
LEANIRA SP,,NA,2.14E+14,NA,NA
LEPTOCUMA SP,,NA,4.11E+14,NA,NA
LEUCON AMERICANUS,,NA,4.11E+14,NA,NA
LEUCOTHOE SPINICARPA,,NA,4.11E+14,NA,NA
LILJEBORGIIDAE,,NA,4.11E+14,NA,NA
LIMACINA RETROVERSA,RETROVERT PTEROPOD,NA,5.14E+14,NA,NA
LIMACINA SP,,NA,5.14E+14,NA,NA
LIMATULA SUBAURICULATA,SMALL-EAR FILECLAM,NA,5.12E+14,NA,NA
LIMIDAE,FILECLAMS,NA,5.12E+14,NA,NA
LIMOPSIS SP,,NA,5.12E+14,NA,NA
LOIMIA MEDUSA,,NA,2.14E+14,NA,NA
LUCINIDAE,LUCINES,NA,5.12E+14,NA,NA
LUMBRINERIDAE,,NA,2.14E+14,NA,NA
LUMBRINERIDES SP,,NA,2.14E+14,NA,NA
LUMBRINERIS GRACILIS,,NA,2.14E+14,NA,NA
LUMBRINERIS LATREILLI,,NA,2.14E+14,NA,NA
LUMBRINERIS SP,,NA,2.14E+14,NA,NA
LUMBRINERIS TENUIS,,NA,2.14E+14,NA,NA
LYONSIIDAE,,NA,5.12E+14,NA,NA
LYSIANASSIDAE,,NA,4.11E+14,NA,NA
LYSIANOPSIS ALBA,,NA,4.11E+14,NA,NA
MACTRIDAE,"SURFCLAMS, DUCKCLAM, AND GAPERS",NA,5.12E+14,NA,NA
MACTROMERIS POLYNYMA,ARCTIC SURFCLAM,ARCTIC SURFCLAM,5.12E+14,80983,NA
MAERA DANAE,,NA,4.11E+14,NA,NA
MAERA LOVENI,,NA,4.11E+14,NA,NA
MAERA SP,,NA,4.11E+14,NA,NA
MAGELONA ROSEA,,NA,2.14E+14,NA,NA
MALDANE SARSI,,NA,2.14E+14,NA,NA
MARGARITES SP,,NA,5.14E+14,NA,NA
MARGINELLA ROSCIDA,VIRGINIA MARGINELLA,NA,5.14E+14,NA,NA
MARPHYSA SANGUINEA,,NA,2.14E+14,NA,NA
MEDIOMASTUS AMBISETA,,NA,2.14E+14,NA,NA
MELINNA CRISTATA,,NA,2.14E+14,NA,NA
MELITA SP,,NA,4.11E+14,NA,NA
METOPELLA ANGUSTA,,NA,4.11E+14,NA,NA
METOPELLA SP,,NA,4.11E+14,NA,NA
METRIDIUM SENILE,,NA,5.22E+13,NA,NA
MICRODEUTOPUS GRYLLOTALPA,,NA,4.11E+14,NA,NA
MICRODEUTOPUS SP,,NA,4.11E+14,NA,NA
MICROPROTOPUS SP,,NA,4.11E+14,NA,NA
MICRURA SP,,NA,9.10E+13,NA,NA
MOLLUSCA EGGS,MOLLUSK EGGS,NA,5.10E+14,NA,NA
MOLLUSCA SHELL,MOLLUSK SHELL,NA,5.10E+14,NA,NA
MOLPADIA MUSCULUS,,NA,6.15E+14,NA,NA
MOLPADIIDA,,NA,6.15E+14,NA,NA
MONOCULODES BOREALIS,,NA,4.11E+14,NA,NA
MONOCULODES INTERMEDIUS,,NA,4.11E+14,NA,NA
MONOCULODES TESSELATUS,,NA,4.11E+14,NA,NA
MOOREONUPHIS NEBULOSA,,NA,2.14E+14,NA,NA
MUCRONELLIDAE,,NA,7.01E+14,NA,NA
MUNNA SP,,NA,4.11E+14,NA,NA
MUNNOPSIDAE,,NA,4.11E+14,NA,NA
MUNNOPSIS TYPICA,,NA,4.11E+14,NA,NA
MUSCULUS NIGER,BLACK MUSSEL,NA,5.12E+14,NA,NA
MUSCULUS SP,,NA,5.12E+14,NA,NA
MYONERA LAMELLIFERA,SHINGLED MYONERIA,NA,5.12E+14,NA,NA
MYRIOCHELE HEERI,,NA,2.14E+14,NA,NA
MYRIOCHELE HEERI TUBES,,NA,2.14E+14,NA,NA
MYRIOCHELE SP,,NA,2.14E+14,NA,NA
MYTILIDAE SHELL,MUSSEL SHELL,NA,5.12E+14,NA,NA
MYTILUS EDULIS SHELL,BLUE MUSSEL SHELL,NA,5.12E+14,NA,NA
MYXICOLA INFUNDIBULUM,,NA,2.14E+14,NA,NA
NATICA CLAUSA,ARCTIC MOONSNAIL,NA,5.14E+14,NA,NA
NATICIDAE OPERCULUM,"MOON SNAILS, SHARK EYES AND BABY-EARS OPERCULUM",NA,5.14E+14,NA,NA
NEOPLEUSTES PULCHELLUS,,NA,4.11E+14,NA,NA
NEPHTYS BUCERA,,NA,2.14E+14,NA,NA
NEPHTYS CAECA,,NA,2.14E+14,NA,NA
NEPHTYS CILIATA,,NA,2.14E+14,NA,NA
NEPHTYS DISCORS,,NA,2.14E+14,NA,NA
NEPHTYS LONGOSETOSA,,NA,2.14E+14,NA,NA
NEPHTYS PICTA,,NA,2.14E+14,NA,NA
NEPHTYS SP,,NA,2.14E+14,NA,NA
NEREIDAE,,NA,2.14E+14,NA,NA
NEREIMYRA SP,,NA,2.14E+14,NA,NA
NEREIS ACUMINATA,,NA,2.14E+14,NA,NA
NEREIS PELAGICA,,NA,2.14E+14,NA,NA
NEREIS SUCCINEA,,NA,2.14E+14,NA,NA
NEREIS VIRENS,,NA,2.14E+14,NA,NA
NICOMACHE LUMBRICALIS,,NA,2.14E+14,NA,NA
NINOE SP,,NA,2.14E+14,NA,NA
NOTOACMEA TESTUDINALIS,PLANT LIMPET,NA,5.14E+14,NA,NA
NOTOCIRRUS SPINIFERUS,,NA,2.14E+14,NA,NA
NOTOMASTUS LATERICEUS,,NA,2.14E+14,NA,NA
NOTOMASTUS SP,,NA,2.14E+14,NA,NA
NUCELLA SP,DOG WHELKS,NA,5.14E+14,NA,NA
NUCULA AEGEENSIS,AEGEAN NUTCLAM,NA,5.12E+14,NA,NA
NUCULA DELPHINODONTA,DOLPHINTOOTH NUTCLAM,NA,5.12E+14,NA,NA
NUCULA SP,,NA,5.12E+14,NA,NA
NUCULA TENUIS,SMOOTH NUTCLAM,NA,5.12E+14,NA,NA
NUCULANA PERNULA,NORTHERN NUTCLAM,NA,5.12E+14,NA,NA
NUCULANA SP,,NA,5.12E+14,NA,NA
NUCULANA TENUISULCATA,THIN NUTCLAM,NA,5.12E+14,NA,NA
NYMPHON GROSSIPES,,NA,4.12E+14,NA,NA
NYMPHON SP,,NA,4.12E+14,NA,NA
NYMPHON STROEMI,,NA,4.12E+14,NA,NA
OEDICEROTIDAE,,NA,4.11E+14,NA,NA
ONUPHIDAE,,NA,2.14E+14,NA,NA
ONUPHIS EREMITA,,NA,2.14E+14,NA,NA
ONUPHIS OPALINA,,NA,2.14E+14,NA,NA
OPHELIA BICORNIS,,NA,2.14E+14,NA,NA
OPHELIIDA,,NA,2.14E+14,NA,NA
OPHELINA ACUMINATA,,NA,2.14E+14,NA,NA
OPHIACANTHA BIDENTATA,,NA,6.13E+14,NA,NA
OPHIACANTHA SP,,NA,6.13E+14,NA,NA
OPHIODERMA BREVISPINA,,NA,6.13E+14,NA,NA
OPHIOGLYCERA GIGANTEA,,NA,2.14E+14,NA,NA
OPHIOLEPIS SP,,NA,6.13E+14,NA,NA
OPHIOPHOLIS ACULEATA,DAISY BRITTLE STAR,NA,6.13E+14,NA,NA
OPHIOPHOLIS SP,,NA,6.13E+14,NA,NA
OPHIURA ROBUSTA,,NA,6.13E+14,NA,NA
OPHIURA SARSI,,NA,6.13E+14,NA,NA
OPHIURA SP,,NA,6.13E+14,NA,NA
OPISTHOBRANCHIA,,NA,5.14E+14,NA,NA
ORBINIA ORNATA,,NA,2.14E+14,NA,NA
ORBINIIDAE,,NA,2.14E+14,NA,NA
ORCHOMENELLA GROENLANDICA,,NA,4.11E+14,NA,NA
ORCHOMENELLA MINUTA,,NA,4.11E+14,NA,NA
ORCHOMENELLA PINGUIS,,NA,4.11E+14,NA,NA
ORCHOMENELLA SP,,NA,4.11E+14,NA,NA
OWENIA FUSIFORMIS,,NA,2.14E+14,NA,NA
OWENIIDAE,,NA,2.14E+14,NA,NA
PAGURIDAE LARVAE,RIGHT-HANDED HERMIT CRABS LARVAE,NA,4.11E+14,NA,NA
PAGURUS POLITUS,,NA,4.11E+14,NA,NA
PAGURUS PUBESCENS,,NA,4.11E+14,NA,NA
PARAHAUSTORIUS ATTENUATUS,,NA,4.11E+14,NA,NA
PARAHAUSTORIUS HOLMESI,,NA,4.11E+14,NA,NA
PARAHAUSTORIUS SP,,NA,4.11E+14,NA,NA
PARAMPHINOME SP,,NA,2.14E+14,NA,NA
PARAMPHITHOE SP,,NA,4.11E+14,NA,NA
PARANINOE BREVIPES,,NA,2.14E+14,NA,NA
PARAONIDAE,,NA,2.14E+14,NA,NA
PARAONIS GRACILIS,,NA,2.14E+14,NA,NA
PARAONIS SP,,NA,2.14E+14,NA,NA
PARATHEMISTO COMPRESSA,,NA,4.11E+14,NA,NA
PARATHEMISTO GRACILIPES,,NA,4.11E+14,NA,NA
PARDALISCIDAE,,NA,4.11E+14,NA,NA
PAROEDICEROS LYNCEUS,,NA,4.11E+14,NA,NA
PAROEDICEROS SP,,NA,4.11E+14,NA,NA
PECTINARIA SP,,NA,2.14E+14,NA,NA
PENNATULA ACULEATA,SEA PEN,NA,5.21E+13,NA,NA
PENTAMERA SP,,NA,6.15E+14,NA,NA
PETALOSARSIA DECLIVIS,,NA,4.11E+14,NA,NA
PHASCOLION STROMBI,HERMIT SIPUNCULID,NA,3.11E+14,NA,NA
PHASCOLOPSIS GOULDII,GOULD'S SIPUNCULID,NA,3.11E+14,NA,NA
PHERUSA ARENOSA,,NA,2.14E+14,NA,NA
PHERUSA SP,,NA,2.14E+14,NA,NA
PHOLOE MINUTA,,NA,2.14E+14,NA,NA
PHORONIDA,PHORONID WORMS,NA,7.20E+14,NA,NA
PHOTIDAE,,NA,4.11E+14,NA,NA
PHOTIS REINHARDI,,NA,4.11E+14,NA,NA
PHOTIS SP,,NA,4.11E+14,NA,NA
PHOXICHILIDIIDAE,,NA,4.12E+14,NA,NA
PHOXOCEPHALIDAE,,NA,4.11E+14,NA,NA
PHRONIMA SEDENTARIA,,NA,4.11E+14,NA,NA
PHRONIMA SP,,NA,4.11E+14,NA,NA
PHROSINA SP,,NA,4.11E+14,NA,NA
PHYLLODOCE ARENAE,,NA,2.14E+14,NA,NA
PHYLLODOCE GROENLANDICA,,NA,2.14E+14,NA,NA
PHYLLODOCE MACULATA,,NA,2.14E+14,NA,NA
PHYLLODOCE MUCOSA,,NA,2.14E+14,NA,NA
PHYLLODOCE SP,,NA,2.14E+14,NA,NA
PISTA CRISTATA,,NA,2.14E+14,NA,NA
PLEUROBRANCHAEA SP,,NA,5.14E+14,NA,NA
PLEUROGONA,,NA,7.61E+14,NA,NA
PLEUROTOMELLA SP,,NA,5.14E+14,NA,NA
PLEUSTES PANOPLUS,,NA,4.11E+14,NA,NA
PLEUSTIDAE,,NA,4.11E+14,NA,NA
PLEUSYMTES GLABER,,NA,4.11E+14,NA,NA
PODOCERIDAE,,NA,4.11E+14,NA,NA
POLITOLANA POLITA,,NA,4.11E+14,NA,NA
POLYCHAETA LARVAE,POLYCHAETE LARVAE,NA,2.14E+14,NA,NA
POLYCHAETA TUBES,POLYCHAETE TUBES,NA,2.14E+14,NA,NA
POLYCIRRUS SP,,NA,2.14E+14,NA,NA
POLYCLINIDAE,SEA PORKS,NA,7.61E+14,NA,NA
POLYPLACOPHORA,CHITONS,NA,5.11E+14,NA,NA
PONTOGENEIA INERMIS,,NA,4.11E+14,NA,NA
PONTOGENEIA SP,,NA,4.11E+14,NA,NA
POTAMILLA NEGLECTA,,NA,2.14E+14,NA,NA
PRAXILLELLA GRACILIS,,NA,2.14E+14,NA,NA
PRAXILLURA ORNATA,,NA,2.14E+14,NA,NA
PRIONOSPIO SP,,NA,2.14E+14,NA,NA
PRIONOSPIO STEENSTRUPI,,NA,2.14E+14,NA,NA
PROBOLOIDES HOLMESI,,NA,4.11E+14,NA,NA
PROBOLOIDES SP,,NA,4.11E+14,NA,NA
PROPILIDIUM SP,,NA,5.14E+14,NA,NA
PROTOHAUSTORIUS DEICHMANNAE,,NA,4.11E+14,NA,NA
PSEUDOCUMIDAE,,NA,4.11E+14,NA,NA
PSEUDOHAUSTORIUS BOREALIS,,NA,4.11E+14,NA,NA
PSEUDOHAUSTORIUS CAROLINIENSIS,,NA,4.11E+14,NA,NA
PSEUDOHAUSTORIUS SP,,NA,4.11E+14,NA,NA
PSEUDOLEPTOCUMA MINOR,,NA,4.11E+14,NA,NA
PSEUDUNCIOLA OBLIQUUA,,NA,4.11E+14,NA,NA
PSEUDUNCIOLA SP,,NA,4.11E+14,NA,NA
PSOLUS PHANTAPUS,,NA,6.15E+14,NA,NA
PSOLUS SP,,NA,6.15E+14,NA,NA
PTERIA VITREA,GLASSY WING-OYSTER,NA,5.12E+14,NA,NA
PUNCTURELLA NOACHINA,DILUVIAN PUNCTURELLA,NA,5.14E+14,NA,NA
PUNCTURELLA SP,,NA,5.14E+14,NA,NA
PYCNOGONIDA,SEA SPIDERS,NA,4.12E+14,NA,NA
PYCNOGONIDAE,,NA,4.12E+14,NA,NA
PYCNOGONUM LITTORALE,,NA,4.12E+14,NA,NA
RANILIA MURICATA,MURICATE FROG CRAB,NA,4.11E+14,NA,NA
RHACHOTROPIS ACULEATA,,NA,4.11E+14,NA,NA
RHACHOTROPIS SP,,NA,4.11E+14,NA,NA
RHEPOXYNIUS SP,,NA,4.11E+14,NA,NA
RHODINE LOVENI,,NA,2.14E+14,NA,NA
RHODINE SP,,NA,2.14E+14,NA,NA
RHYNCHONELLIDAE,,NA,7.41E+14,NA,NA
SABELLA CRASSICORNIS,,NA,2.14E+14,NA,NA
SARSONUPHIS QUADRICUSPIS,,NA,2.14E+14,NA,NA
SCALIBRAGMATIDAE,,NA,2.14E+14,NA,NA
SCALIBREGMA SP,,NA,2.14E+14,NA,NA
SCAPHANDER PUNCTOSTRIATUS,GIANT CANOE BUBBLE,NA,5.14E+14,NA,NA
SCHIZASTERIDAE,,NA,6.12E+14,NA,NA
SCOLECOLEPIDES SP,,NA,2.14E+14,NA,NA
SCOLELEPIS SP,,NA,2.14E+14,NA,NA
SCOLELEPIS SQUAMATA,,NA,2.14E+14,NA,NA
SCOLOPLOS ACUTUS,,NA,2.14E+14,NA,NA
SCOLOPLOS FRAGILIS,,NA,2.14E+14,NA,NA
SCOLOPLOS SP,,NA,2.14E+14,NA,NA
SERPULIDAE,,NA,2.14E+14,NA,NA
SIGALION ARENICOLA,,NA,2.14E+14,NA,NA
SIGALION SP,,NA,2.14E+14,NA,NA
SIGALIONIDAE,,NA,2.14E+14,NA,NA
SILIQUA COSTATA,ATLANTIC RAZOR,NA,5.12E+14,NA,NA
SOLENIDAE SHELL,RAZOR AND JACKNIFE CLAM SHELL,NA,5.12E+14,NA,NA
SOLENIDAE SIPHON,RAZOR CLAM SIPHONS,NA,5.12E+14,NA,NA
SOLENIDAE VISCERA,RAZOR AND JACKNIFE CLAMS VISCERA,NA,5.12E+14,NA,NA
SPHAERODORIDAE,,NA,2.14E+14,NA,NA
SPHAERODORUM GRACILIS,,NA,2.14E+14,NA,NA
SPHAEROMATIDAE,,NA,4.11E+14,NA,NA
SPIO FILICORNIS,,NA,2.14E+14,NA,NA
SPIO SETOSA,,NA,2.14E+14,NA,NA
SPIONIDA,,NA,2.14E+14,NA,NA
SPIONIDAE,,NA,2.14E+14,NA,NA
SPIOPHANES BOMBYX,,NA,2.14E+14,NA,NA
SPIOPHANES SP,,NA,2.14E+14,NA,NA
SPIRORBIS SP,,NA,2.14E+14,NA,NA
SPISULA POLYNYMA,STIMPSON'S CLAM,NA,5.12E+14,NA,NA
SPISULA SP VISCERA,,NA,5.12E+14,NA,NA
STEGOCEPHALUS INFLATUS,,NA,4.11E+14,NA,NA
STENOPLEUSTES SP,,NA,4.11E+14,NA,NA
STENOTHOE MINUTA,,NA,4.11E+14,NA,NA
STENULA SP,,NA,4.11E+14,NA,NA
STEREODERMA UNISEMITA,,NA,6.15E+14,NA,NA
STERNASPIS SCUTATA,,NA,2.14E+14,NA,NA
STHENELAIS BOA,,NA,2.14E+14,NA,NA
STHENELAIS LIMICOLA,,NA,2.14E+14,NA,NA
STHENELAIS SP,,NA,2.14E+14,NA,NA
STREBLOSPIO BENEDICTI,,NA,2.14E+14,NA,NA
STRIGILLA SP,,NA,5.12E+14,NA,NA
STRONGYLOCENTROTUS DROEBACHIENSIS,GREEN SEA URCHIN,NA,6.12E+14,NA,NA
SYLLIS CORNUTA,,NA,2.14E+14,NA,NA
SYLLIS SP,,NA,2.14E+14,NA,NA
SYNCHELIDIUM SP,,NA,4.11E+14,NA,NA
SYRRHOE CRENULATA,,NA,4.11E+14,NA,NA
SYRRHOE SP,,NA,4.11E+14,NA,NA
TACHYRHYNCHUS EROSUS,ERODED TURRENTSNAIL,NA,5.14E+14,NA,NA
TECTONATICA PUSILLA,MINATURE MOONSNAIL,NA,5.14E+14,NA,NA
TELLINA SP,,NA,5.12E+14,NA,NA
TELLINIDAE,"MACOMA, TELLEN, AND FAT-TELLEN CLAMS",NA,5.12E+14,NA,NA
TEREBELLA LAPIDARIA,,NA,2.14E+14,NA,NA
THARYX SP,,NA,2.14E+14,NA,NA
THECOSOMATA,SHELLED PTEROPODS,NA,5.14E+14,NA,NA
THELEPUS CINCINNATUS,,NA,2.14E+14,NA,NA
THEMISTO GAUDICHAUDII,,NA,4.11E+14,NA,NA
THYASIRA SP,,NA,5.12E+14,NA,NA
THYONELLA SP,,NA,6.15E+14,NA,NA
TIRON SP,,NA,4.11E+14,NA,NA
TIRON SPINIFERUM,,NA,4.11E+14,NA,NA
TIRONIDAE,,NA,4.11E+14,NA,NA
TOMOPTERIDAE,,NA,2.14E+14,NA,NA
TOMOPTERIS HELGOLANDICA,,NA,2.14E+14,NA,NA
TOMOPTERIS SP,,NA,2.14E+14,NA,NA
TONICELLA RUBRA,NORTHERN RED CHITON,NA,5.11E+14,NA,NA
TONICELLA SP,,NA,5.11E+14,NA,NA
TRAVISIA FORBESII,,NA,2.14E+14,NA,NA
TRAVISIA SP,,NA,2.14E+14,NA,NA
TREMATODA,FLUKES,NA,7.20E+13,NA,NA
TRICHOBRANCHIDAE,,NA,2.14E+14,NA,NA
TRICHOBRANCHUS GLACIALIS,,NA,2.14E+14,NA,NA
TRICHOPHOXUS EPISTOMUS,,NA,4.11E+14,NA,NA
TRIDONTA BOREALIS,BOREAL TRIDONTA,NA,5.12E+14,NA,NA
TROCHIDAE,TOPSNAILS,NA,5.14E+14,NA,NA
TROCHOCHAETA SP,,NA,2.14E+14,NA,NA
UNCIOLA DISSIMILIS,,NA,4.11E+14,NA,NA
UNCIOLA INERMIS,,NA,4.11E+14,NA,NA
UNCIOLA SERRATA,,NA,4.11E+14,NA,NA
UNCIOLA SP,,NA,4.11E+14,NA,NA
UROCHORDATA,"SEA SQUIRTS, LARVACEANS, AND SALPS",NA,7.60E+14,NA,NA
VANADIS LONGISSIMA,,NA,2.14E+14,NA,NA
VELUTINA SP,,NA,5.14E+14,NA,NA
VIBILIA SP,,NA,4.11E+14,NA,NA
WESTWOODILLA SP,,NA,4.11E+14,NA,NA
YOLDIA THRACIAEFORMIS,BROAD YOLDIA,NA,5.12E+14,NA,NA
YOLDIELLA IRIS,RAINBOW YOLDIA,NA,5.12E+14,NA,NA
YOLDIELLA LUCIDA,IRIDESCENT YOLDIA,NA,5.12E+14,NA,NA
